iter	Passed	Remaining
0	1327	104841
1	2062	80437
2	2892	74246
3	3568	67800
4	4260	63914
5	4892	60335
6	5618	58589
7	6248	56232
8	6881	54289
9	7531	52722
10	8162	51202
11	8810	49928
12	9467	48796
13	10090	47569
14	10719	46451
15	11287	45151
16	11969	44355
17	12630	43505
18	13252	42548
19	13952	41858
20	14601	41022
21	15222	40131
22	15875	39344
23	16538	38589
24	17226	37898
25	17874	37123
26	18543	36401
27	19158	35580
28	19777	34780
29	20466	34111
30	21071	33306
31	21743	32615
32	22347	31828
33	23014	31136
34	23668	30431
35	24315	29718
36	24943	28988
37	25556	28246
38	26206	27550
39	26833	26833
40	27433	26095
41	28094	25418
42	28734	24725
43	29370	24030
44	30027	23354
45	30657	22659
46	31322	21992
47	32027	21351
48	32666	20666
49	33285	19971
50	33915	19285
51	34605	18633
52	35282	17973
53	35950	17309
54	36746	16702
55	37398	16027
56	38041	15350
57	38689	14675
58	39294	13986
59	39936	13312
60	40631	12655
61	41265	11980
62	41922	11312
63	42568	10642
64	43196	9968
65	43822	9295
66	44416	8618
67	45036	7947
68	45666	7280
69	46266	6609
70	46865	5940
71	47510	5278
72	48135	4615
73	48740	3951
74	49440	3296
75	50091	2636
76	50734	1976
77	51383	1317
78	52026	658
79	52727	0
