iter	Passed	Remaining
0	143	71583
1	263	65601
2	390	64691
3	488	60527
4	618	61263
5	726	59831
6	825	58152
7	952	58580
8	1061	57907
9	1170	57337
10	1284	57117
11	1386	56370
12	1504	56376
13	1621	56294
14	1761	56939
15	1846	55865
16	1946	55297
17	2061	55199
18	2200	55714
19	2310	55448
20	2405	54876
21	2497	54264
22	2603	53987
23	2701	53584
24	2810	53398
25	2889	52674
26	2964	51926
27	3064	51652
28	3169	51470
29	3260	51079
30	3360	50844
31	3436	50261
32	3554	50295
33	3638	49872
34	3726	49510
35	3813	49151
36	3938	49279
37	3993	48558
38	4069	48098
39	4148	47710
40	4225	47306
41	4317	47076
42	4428	47063
43	4529	46947
44	4609	46604
45	4702	46408
46	4794	46212
47	4916	46298
48	5004	46062
49	5091	45819
50	5209	45864
51	5326	45886
52	5415	45672
53	5542	45772
54	5608	45380
55	5725	45398
56	5807	45134
57	5932	45207
58	6058	45281
59	6176	45290
60	6285	45235
61	6393	45167
62	6511	45167
63	6615	45065
64	6720	44977
65	6832	44930
66	6956	44958
67	7085	45012
68	7184	44878
69	7291	44792
70	7374	44556
71	7517	44687
72	7652	44763
73	7759	44666
74	7885	44687
75	8015	44715
76	8131	44668
77	8234	44548
78	8355	44529
79	8459	44411
80	8580	44385
81	8688	44289
82	8816	44295
83	8938	44264
84	9058	44227
85	9187	44228
86	9285	44080
87	9399	44008
88	9514	43937
89	9648	43954
90	9785	43979
91	9913	43962
92	10023	43865
93	10157	43873
94	10277	43815
95	10388	43719
96	10503	43639
97	10644	43662
98	10778	43657
99	10891	43564
100	11022	43545
101	11177	43612
102	11280	43480
103	11382	43341
104	11468	43142
105	11567	42995
106	11727	43075
107	11833	42950
108	11954	42881
109	12067	42784
110	12189	42717
111	12300	42614
112	12433	42581
113	12581	42600
114	12709	42549
115	12838	42498
116	12954	42405
117	13062	42288
118	13180	42199
119	13305	42134
120	13430	42066
121	13553	41992
122	13654	41852
123	13779	41784
124	13927	41782
125	14074	41777
126	14154	41572
127	14267	41464
128	14375	41342
129	14480	41213
130	14600	41127
131	14729	41064
132	14864	41016
133	15016	41014
134	15144	40945
135	15311	40980
136	15441	40913
137	15555	40804
138	15683	40731
139	15837	40725
140	15972	40667
141	16086	40554
142	16176	40384
143	16296	40288
144	16419	40199
145	16544	40115
146	16698	40099
147	16855	40089
148	16999	40046
149	17110	39924
150	17241	39849
151	17360	39746
152	17475	39634
153	17605	39554
154	17741	39489
155	17868	39402
156	17987	39297
157	18109	39199
158	18225	39086
159	18347	38988
160	18466	38883
161	18581	38768
162	18713	38690
163	18867	38655
164	18998	38572
165	19108	38447
166	19235	38355
167	19357	38254
168	19448	38091
169	19562	37973
170	19693	37888
171	19818	37793
172	19972	37750
173	20088	37637
174	20218	37547
175	20309	37387
176	20420	37263
177	20554	37183
178	20692	37107
179	20806	36989
180	20958	36937
181	21077	36827
182	21217	36754
183	21341	36651
184	21482	36578
185	21589	36447
186	21686	36297
187	21824	36219
188	21945	36110
189	22104	36066
190	22230	35965
191	22373	35891
192	22509	35804
193	22638	35707
194	22759	35598
195	22880	35488
196	23009	35389
197	23119	35263
198	23213	35111
199	23333	34999
200	23438	34866
201	23513	34688
202	23595	34521
203	23710	34404
204	23834	34298
205	23970	34210
206	24089	34097
207	24228	34013
208	24363	33922
209	24492	33823
210	24604	33699
211	24725	33589
212	24845	33477
213	24969	33369
214	25108	33282
215	25240	33185
216	25404	33131
217	25529	33024
218	25693	32967
219	25818	32859
220	25953	32764
221	26090	32671
222	26271	32633
223	26390	32516
224	26552	32453
225	26727	32404
226	26836	32275
227	26973	32178
228	27104	32075
229	27221	31955
230	27278	31766
231	27388	31638
232	27510	31524
233	27634	31413
234	27732	31272
235	27869	31176
236	28008	31081
237	28147	30986
238	28265	30867
239	28387	30752
240	28495	30623
241	28633	30527
242	28763	30420
243	28850	30269
244	28965	30147
245	29102	30048
246	29238	29948
247	29339	29812
248	29500	29737
249	29601	29601
250	29716	29479
251	29857	29383
252	29988	29277
253	30116	29167
254	30256	29070
255	30363	28940
256	30475	28815
257	30603	28705
258	30743	28606
259	30843	28470
260	30950	28341
261	31078	28231
262	31195	28111
263	31345	28020
264	31486	27922
265	31614	27811
266	31735	27694
267	31900	27615
268	32034	27509
269	32131	27371
270	32266	27265
271	32404	27162
272	32568	27081
273	32727	26993
274	32859	26884
275	33007	26788
276	33159	26694
277	33276	26573
278	33417	26470
279	33535	26349
280	33669	26240
281	33784	26117
282	33926	26014
283	34014	25869
284	34160	25770
285	34294	25661
286	34408	25536
287	34516	25407
288	34639	25290
289	34770	25178
290	34871	25044
291	35006	24935
292	35102	24799
293	35226	24682
294	35336	24556
295	35473	24448
296	35609	24338
297	35727	24218
298	35877	24118
299	35974	23983
300	36083	23856
301	36167	23712
302	36251	23569
303	36383	23457
304	36479	23322
305	36594	23200
306	36742	23098
307	36913	23010
308	37055	22904
309	37220	22812
310	37348	22697
311	37521	22609
312	37674	22508
313	37844	22417
314	37964	22296
315	38084	22175
316	38192	22048
317	38289	21914
318	38356	21763
319	38491	21651
320	38614	21532
321	38748	21420
322	38854	21291
323	38997	21183
324	39075	21040
325	39210	20928
326	39329	20807
327	39431	20677
328	39576	20570
329	39722	20463
330	39760	20300
331	39889	20185
332	40044	20082
333	40147	19953
334	40279	19839
335	40406	19722
336	40553	19614
337	40598	19458
338	40725	19341
339	40829	19213
340	40963	19100
341	41069	18973
342	41183	18850
343	41288	18723
344	41386	18593
345	41529	18484
346	41670	18373
347	41767	18243
348	41915	18135
349	42048	18020
350	42158	17896
351	42279	17776
352	42399	17656
353	42524	17538
354	42596	17398
355	42731	17284
356	42839	17159
357	42934	17030
358	43062	16913
359	43193	16797
360	43337	16686
361	43458	16567
362	43576	16446
363	43721	16335
364	43847	16217
365	43962	16095
366	44085	15976
367	44243	15869
368	44340	15741
369	44466	15623
370	44553	15491
371	44657	15365
372	44786	15249
373	44834	15104
374	44951	14983
375	45036	14852
376	45122	14721
377	45232	14598
378	45360	14481
379	45466	14357
380	45550	14227
381	45667	14106
382	45795	13989
383	45980	13889
384	46085	13765
385	46175	13637
386	46298	13518
387	46422	13400
388	46589	13294
389	46729	13180
390	46819	13051
391	46948	12934
392	47091	12821
393	47219	12703
394	47334	12582
395	47485	12471
396	47609	12352
397	47725	12231
398	47843	12110
399	48019	12004
400	48159	11889
401	48278	11769
402	48381	11645
403	48498	11524
404	48617	11404
405	48740	11284
406	48886	11170
407	48986	11045
408	49106	10925
409	49217	10803
410	49321	10680
411	49441	10560
412	49583	10445
413	49702	10324
414	49830	10206
415	49969	10089
416	50108	9973
417	50220	9851
418	50322	9728
419	50424	9604
420	50571	9489
421	50685	9368
422	50805	9248
423	50983	9138
424	51117	9020
425	51210	8895
426	51332	8775
427	51443	8653
428	51546	8530
429	51700	8416
430	51821	8296
431	51971	8180
432	52093	8060
433	52222	7941
434	52337	7820
435	52480	7703
436	52608	7584
437	52718	7462
438	52846	7343
439	52947	7220
440	53096	7103
441	53206	6981
442	53335	6862
443	53456	6742
444	53585	6622
445	53690	6500
446	53813	6380
447	53960	6263
448	54115	6146
449	54239	6026
450	54393	5909
451	54555	5793
452	54709	5676
453	54820	5554
454	54944	5434
455	55098	5316
456	55205	5194
457	55375	5078
458	55495	4957
459	55644	4838
460	55758	4717
461	55885	4596
462	55995	4474
463	56098	4352
464	56224	4231
465	56369	4112
466	56527	3994
467	56653	3873
468	56776	3752
469	56894	3631
470	57022	3510
471	57171	3391
472	57290	3270
473	57424	3149
474	57554	3029
475	57703	2909
476	57821	2788
477	57950	2667
478	58065	2545
479	58210	2425
480	58347	2304
481	58482	2184
482	58608	2062
483	58751	1942
484	58890	1821
485	59017	1700
486	59128	1578
487	59292	1458
488	59424	1336
489	59537	1215
490	59641	1093
491	59783	972
492	59903	850
493	60026	729
494	60159	607
495	60304	486
496	60415	364
497	60549	243
498	60666	121
499	60795	0
