iter	Logloss
0	0.6876300148
1	0.6822116333
2	0.6769026781
3	0.6716702712
4	0.6665970322
5	0.6615671054
6	0.6566344703
7	0.6518180252
8	0.6471229467
9	0.6424642077
10	0.6379040813
11	0.6334371014
12	0.629023904
13	0.62472645
14	0.6205163504
15	0.6163785511
16	0.6122760116
17	0.6082800773
18	0.6043554617
19	0.6004817694
20	0.5966923793
21	0.5929791493
22	0.5893223198
23	0.585746454
24	0.5822175442
25	0.578749334
26	0.5753421863
27	0.5719960276
28	0.5687057888
29	0.5654402841
30	0.562257542
31	0.5591500724
32	0.5560884028
33	0.5530400513
34	0.550068659
35	0.5471602106
36	0.5442823164
37	0.5414184999
38	0.5386189216
39	0.5358674138
40	0.5331432432
41	0.5304938047
42	0.5278900477
43	0.5253005876
44	0.5227870009
45	0.5203130985
46	0.5178465871
47	0.5154440802
48	0.5130650969
49	0.5107211661
50	0.5084124825
51	0.5061707219
52	0.5039445882
53	0.5017473554
54	0.4996082383
55	0.4974891516
56	0.4953878907
57	0.4933372021
58	0.4913119435
59	0.4893410643
60	0.4873993002
61	0.4854872552
62	0.4836184061
63	0.4817553008
64	0.4799035896
65	0.4781072654
66	0.4763262045
67	0.4745894825
68	0.4729101779
69	0.4712033134
70	0.469528078
71	0.467905598
72	0.4662822008
73	0.4646872896
74	0.4631403277
75	0.4615947276
76	0.4600783061
77	0.4585882393
78	0.4569423408
79	0.4553149421
80	0.4537183731
81	0.4521285531
82	0.4505714333
83	0.4490367672
84	0.4475199152
85	0.4460291091
86	0.4445837682
87	0.4431437018
88	0.4417173338
89	0.4403318312
90	0.4389495433
91	0.4375998938
92	0.4362734346
93	0.4349596023
94	0.4336792947
95	0.4324157889
96	0.4311558927
97	0.4299340433
98	0.4287077945
99	0.4275059437
