iter	Passed	Remaining
0	70	6942
1	125	6137
2	168	5432
3	220	5297
4	264	5017
5	332	5208
6	379	5044
7	422	4855
8	474	4794
9	523	4711
10	575	4657
11	629	4618
12	719	4813
13	777	4777
14	846	4798
15	898	4718
16	962	4700
17	1023	4663
18	1074	4582
19	1133	4535
20	1182	4447
21	1233	4373
22	1298	4346
23	1361	4310
24	1404	4214
25	1462	4161
26	1525	4125
27	1579	4061
28	1626	3981
29	1675	3909
30	1722	3835
31	1768	3758
32	1816	3688
33	1864	3619
34	1911	3550
35	1975	3511
36	2039	3472
37	2086	3404
38	2150	3362
39	2198	3297
40	2241	3225
41	2293	3167
42	2358	3126
43	2420	3080
44	2467	3015
45	2514	2951
46	2564	2892
47	2611	2829
48	2662	2771
49	2710	2710
50	2770	2662
51	2817	2600
52	2880	2554
53	2928	2494
54	2975	2434
55	3023	2375
56	3087	2329
57	3134	2269
58	3198	2222
59	3245	2163
60	3313	2118
61	3358	2058
62	3416	2006
63	3467	1950
64	3532	1901
65	3594	1851
66	3658	1801
67	3702	1742
68	3745	1682
69	3820	1637
70	3880	1584
71	3948	1535
72	4006	1481
73	4055	1424
74	4096	1365
75	4149	1310
76	4196	1253
77	4243	1196
78	4296	1142
79	4346	1086
80	4407	1033
81	4466	980
82	4531	928
83	4594	875
84	4642	819
85	4689	763
86	4738	708
87	4801	654
88	4865	601
89	4911	545
90	4976	492
91	5024	436
92	5072	381
93	5138	327
94	5182	272
95	5231	217
96	5279	163
97	5326	108
98	5376	54
99	5436	0
