ID,Is_Lead
VBENBARO,0.028585587
CCMEWNKY,0.026809493
VK3KGA9M,0.014843353
TT8RPZVC,0.08187187
SHQZEYTZ,0.0828146
MZZAQMPT,0.94919354
Y88TW36I,0.8329535
3UGOAQNU,0.030991549
VVUKMUJT,0.2468033
9R363ZXS,0.086071715
BLISM6JE,0.023601513
CH8S7JK7,0.3635031
EAHDPXEJ,0.9996118
BNUK9PRF,0.99996424
GP2PG6FJ,0.015699118
WNQCSN8A,0.9915087
32DN4YVZ,0.52406925
GXAMDANM,0.08270983
MXETLUP4,0.071968906
MPXK6TVE,0.10765308
LBSIME2K,0.49391076
D6ORJTM6,0.06736348
HGDIBAKA,1.0
UUZYL9DZ,0.054387067
AUGE3VWK,0.07278061
MX7GOX6Q,0.08272119
TQN6K35W,1.0
QQDRMQQN,1.0
UP6GC6F4,0.099408515
BMHBUVHB,0.47093368
KGLDW86A,1.0
FQEOMOP4,0.9359354
DYWM5MEU,0.8799436
DXHGXV8F,0.15266971
AVFBFQKC,0.0790625
DBIDKYMV,1.0
KYZHMEBY,0.9325249
SSFEBUGF,0.52711755
MGJTAG8X,1.0
MP6BERDO,0.25621393
GXZ8ED68,0.96051073
ICTFGWQR,1.0
EAYHTRKH,0.3087546
6FN97QLQ,0.99963796
3H5MZDDW,1.0
2DXZZWSN,0.27303705
MM4QIRE5,0.04493529
HJWVYXUA,0.07631496
RBRSJUP3,0.10652361
YFRQKGXW,1.0
N3SADEBV,0.01807019
G2A2YYXY,0.09837169
XMGA3WT3,0.0365439
KVZQPSGI,0.5544518
UAKARBBG,0.04591717
WYKKL85Z,0.05259173
GHNYYGRR,0.96455663
UBAJANWT,0.1773685
LSARSF7U,0.008494415
4CNSJVVR,0.99999094
JRHJSWYO,0.9531875
FHZ8SVVI,0.9926292
JUIRE47M,0.018321365
GDIVN2GL,0.1433975
WMF3DYE3,0.21617009
MAQEHEWK,0.23587337
2W8DLKFU,0.9390689
AKGRML6H,0.010630847
B7WUUGCY,0.041252606
TLJOYATM,0.9999913
UH6ZDM3W,0.16916056
7IP5SSRR,1.0
PV85PMEB,0.24170105
FGDOY4NI,0.07370104
7YYIXJQE,0.012895273
BHW42XPW,0.6414976
3PKEEAT4,0.12967885
ACFPZ3LM,0.05751835
6GORGNYN,0.11493503
AEPQTMJK,0.939581
S6FNZFKK,0.013736764
JTYNEKRQ,1.0
GPXDPHHC,0.8482712
O8TMKNNB,0.13532203
XSQVHKYG,0.23998718
MJ3CZRAE,0.02254006
3NSQEYBJ,1.0
SXVBASGH,0.04542077
5ZIGZYSS,0.5107391
FQSHBCUT,0.17057155
MU45XUBP,0.4861539
BVULDPBI,0.9997265
82GRNPFG,0.1899102
KKBNELBF,0.02542351
HXQGBDGY,0.060519174
28HDZICG,0.07505522
GHBPKPJC,0.9703438
FDWZFSSC,0.010539017
FWTIWZF3,0.07730559
JYMHVPMY,0.02675906
AHUDO2T6,0.11906347
ACDHABS3,0.016628806
5NTYJJDV,0.10139829
2M4VPY4V,0.94041044
KAHP9XLF,0.5319043
YRLEWZFQ,0.5476011
JZWVLXHJ,0.23411211
JZZSXUKT,1.0
93RURE2J,0.049495816
4RNB6FDV,0.8169567
27E7HMMG,0.13777481
2QEFQQWN,0.0060296343
DDTCD2XI,0.26701766
VGVEYSEG,1.0
WCXVE7RK,1.0
RTN4R3UE,0.07757718
K2PVS4RB,0.015148995
Q36J686Z,0.2512478
NWKHMEOF,0.032027666
